Waktu,PM10,PM2p5,SO2,CO,O3,NO2,HC,KecAngin,ArahAngin,Kelembaban,Suhu,TekUdara,SolRad,CurahHujan
2020-01-01 00:00,31,32,3,12913,,4,,0,89,92,25,997.63,0,0.25
2020-01-01 00:30,45,42,,11488,,4,,0,89,91,24.94,997.42,0,0.25
2020-01-01 01:00,34,31,,8313,,4,,4.83,73,91,24.94,997.29,0,0.25
2020-01-01 01:30,30,29,3,17729,35,4,,0,122,92,24.89,997.32,0,0.25
2020-01-01 02:00,36,38,,11288,,4,,0,122,93,24.72,997.25,0,0.25
2020-01-01 02:30,30,28,,8886,,4,,0,122,93,24.78,997.22,0,0.25
2020-01-01 03:00,36,34,,7136,,4,,1.61,75,93,24.67,996.78,0,0.25
2020-01-01 03:30,38,35,,6830,,4,,0,87,93,24.56,996.58,0,0.25
2020-01-01 04:00,36,34,,6262,,4,,0,87,93,24.44,996.85,0,0.25
2020-01-01 04:30,34,33,,6041,,4,,0,95,93,24.44,997.32,0,0.25
2020-01-01 05:00,31,31,,5640,,4,,0,62,92,24.5,997.42,0,0.25
2020-01-01 05:30,33,32,,4700,,4,,3.22,85,92,24.5,997.56,0,0.25
2020-01-01 06:00,36,32,,4643,,4,,1.61,84,92,24.61,998.03,12,0.25
2020-01-01 06:30,40,39,3,4607,,4,,0,83,92,24.89,998.64,37,0.25
2020-01-01 07:00,50,47,3,4637,,6,,1.61,83,91,25.11,998.91,93,0.25
2020-01-01 07:30,64,59,5,4594,,6,,0,78,90,25.67,999.08,142,0.25
2020-01-01 08:00,76,75,5,4769,,6,,0,95,89,26.11,999.15,204,0.25
2020-01-01 08:30,59,51,5,4841,,8,,0,10,84,27.28,999.32,53,0.25
2020-01-01 09:00,64,66,5,4118,,6,,1.61,64,82,27.72,999.86,39,0.25
2020-01-01 09:30,79,65,5,4106,,6,,1.61,171,79,28.61,999.52,133,0.25
2020-01-01 10:00,72,65,5,3466,,8,,3.22,177,75,29.78,999.05,242,0.25
2020-01-01 10:30,43,41,5,3536,,8,,0,250,67,31.33,998.68,249,0.25
2020-01-01 11:00,49,45,5,3327,,8,,0,274,66,31.39,998.37,32,0.25
2020-01-01 11:30,25,24,5,3166,,8,,4.83,227,63,32.61,998.1,13,0.25
2020-01-01 12:00,32,31,5,4160,,8,,0,187,66,31.94,997.8,98,0.25
2020-01-01 12:30,21,20,5,3270,,8,,3.22,195,61,32.89,997.36,241,0.25
2020-01-01 13:00,18,16,5,2418,,8,,9.66,332,65,32.06,996.75,74,0.25
2020-01-01 13:30,17,18,3,2616,,8,,4.83,280,79,29.06,996.61,88,0.25
2020-01-01 14:00,9,9,3,2062,39,9,,1.61,146,86,27.22,996.78,151,1.52
